c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
time (h),Cont, Xpro (cell/L), Xsyn (cell/L),,NH4, Xpro (cell/L), Xsyn (cell/L),,NO3, Xpro (cell/L), Xsyn (cell/L)
0,,5275.480489,70 ,,,5275.480489,70 ,,,5275.480489,70 
24,,15517.48057,281.9093739,,,17462.05383,250 ,,,15336.09368,293.2822999
48,,4817.615798,255.9667935,,,59039.93173,943.1569238,,,14630.03684,696.9906607
72,,5342.459531,654.9060302,,,35356.79533,1284.445982,,,21660.38692,2017.423844
