"From ""13_Cell density_AV and SD.xlsx"" Lower values",c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
time (h),Cont, Xpro (cell/L), Xsyn (cell/L),,NH4, Xpro (cell/L), Xsyn (cell/L),,NO3, Xpro (cell/L), Xsyn (cell/L)
0,,3706.852205,47.65748107,,,3706.852205,47.65748107,,,3706.852205,47.65748107
24,,8807.360168,262.6926477,,,20305.48647,493.1379841,,,12453.30107,524.3720891
48,,6084.734907,302.215048,,,41904.89896,819.7855413,,,17247.10331,1080.963074
72,,4003.851914,505.3999001,,,22343.31359,895.8837772,,,19458.95307,2644.238838
