"From ""13_Cell density_AV and SD.xlsx"" Lower values",c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
time (h),Cont, Xpro (cell/L), Xsyn (cell/L),,NH4, Xpro (cell/L), Xsyn (cell/L),,NO3, Xpro (cell/L), Xsyn (cell/L)
0,,1243.089544,15.55486863,,,1243.089544,15.55486863,,,1243.089544,15.55486863
24,,4995.322544,42.55221384,,,2114.239273,186.0849325,,,2852.439397,169.9632213
48,,1948.515809,122.2885917,,,14359.60757,228.6457739,,,4430.287171,273.698445
72,,1310.184202,246.4702278,,,9900.618312,333.3450121,,,4865.39548,483.6075545
