"From ""12_3_ProSynNuts_Re_highlighted_AV_SD.xlsx"" Lower values",c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
time (h),Cont,NH4 (nM),NO3 (nM),,NH4,NH4 (nM),NO3 (nM),,NO3,NH4 (nM),NO3 (nM)
0,,7,10,,,91,11,,,7,106
24,,12,8,,,34,12,,,8,100
48,,6,4,,,6,5,,,3,56
72,,3,5,,,4,7,,,4,26
