c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
time (h),Cont,NH4 (nM),NO3 (nM),,NH4,NH4 (nM),NO3 (nM),,NO3,NH4 (nM),NO3 (nM)
0,,3,22,,,87,22,,,3,120
24,,15,12,,,46.43150338,22.15909446,,,4.973185849,108.183904
48,,0,4.719648296,,,2.16795446,7.550817779,,,2.595453707,90.39487942
72,,0,4.539503082,,,2.293336669,8.340615965,,,0,45.45412767
