c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
time (h),Cont, Xpro (cell/L), Xsyn (cell/L),,NH4, Xpro (cell/L), Xsyn (cell/L),,NO3, Xpro (cell/L), Xsyn (cell/L)
0,,3609.896339,35 ,,,3609.896339,34.97444175,,,3609.896339,34.97444175
24,,7365.565274,302.471271,,,22528 ,701.7948422,,,13455.62034,697.1828279
48,,8837.463557,469.6567893,,,42776.15808,1016.949153,,,23485.58471,1230.639148
72,,4444.039521,703.3321803,,,20310.98154,933 ,,,24003.88727,3194.58857
