c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
time (h),Cont, Xpro (cell/L), Xsyn (cell/L),,NH4, Xpro (cell/L), Xsyn (cell/L),,NO3, Xpro (cell/L), Xsyn (cell/L)
0,,2235.179786,38 ,,,2235.179786,38 ,,,2235.179786,38 
24,,3539.034661,203.6972981,,,8568.18918,528 ,,,20926.46582,582.6511396
48,,4599.125364,181.0215612,,,23898.60706,499.2505477,,,13625.68837,1315.259414
72,,2225.056689,157.9614897,,,11362.16391,470.4254583,,,12712.58503,2720.704101
